image_file, comment_number,caption,id
1000092795.jpg, 0, Two young guys with shaggy hair look at their hands while hanging out in the yard .,0
1000092795.jpg, 1," Two young , White males are outside near many bushes .",0
1000092795.jpg, 2, Two men in green shirts are standing in a yard .,0
1000092795.jpg, 3, A man in a blue shirt standing in a garden .,0
1000092795.jpg, 4, Two friends enjoy time spent together .,0
10002456.jpg, 0, Several men in hard hats are operating a giant pulley system .,1
10002456.jpg, 1, Workers look down from up above on a piece of equipment .,1
10002456.jpg, 2, Two men working on a machine wearing hard hats .,1
10002456.jpg, 3, Four men on top of a tall structure .,1
10002456.jpg, 4, Three men on a large rig .,1
1000268201.jpg, 0, A child in a pink dress is climbing up a set of stairs in an entry way .,2
1000268201.jpg, 1, A little girl in a pink dress going into a wooden cabin .,2
1000268201.jpg, 2, A little girl climbing the stairs to her playhouse .,2
1000268201.jpg, 3, A little girl climbing into a wooden playhouse ,2
1000268201.jpg, 4, A girl going into a wooden building .,2
1000344755.jpg, 0, Someone in a blue shirt and hat is standing on stair and leaning against a window .,3
1000344755.jpg, 1, A man in a blue shirt is standing on a ladder cleaning a window .,3
1000344755.jpg, 2, A man on a ladder cleans the window of a tall building .,3
1000344755.jpg, 3, man in blue shirt and jeans on ladder cleaning windows,3
1000344755.jpg, 4, a man on a ladder cleans a window,3
1000366164.jpg, 0," Two men , one in a gray shirt , one in a black shirt , standing near a stove .",4
1000366164.jpg, 1, Two guy cooking and joking around with the camera .,4
1000366164.jpg, 2, Two men in a kitchen cooking food on a stove .,4
1000366164.jpg, 3, Two men are at the stove preparing food .,4
1000366164.jpg, 4, Two men are cooking a meal .,4
1000523639.jpg, 0, Two people in the photo are playing the guitar and the other is poking at him .,5
1000523639.jpg, 1, A man in green holds a guitar while the other man observes his shirt .,5
1000523639.jpg, 2, A man is fixing the guitar players costume .,5
1000523639.jpg, 3, a guy stitching up another man 's coat .,5
1000523639.jpg, 4, the two boys playing guitar,5
1000919630.jpg, 0, A man sits in a chair while holding a large stuffed animal of a lion .,6
1000919630.jpg, 1, A man is sitting on a chair holding a large stuffed animal .,6
1000919630.jpg, 2, A man completes the finishing touches on a stuffed lion .,6
1000919630.jpg, 3, A man holds a large stuffed lion toy .,6
1000919630.jpg, 4, A man is smiling at a stuffed lion,6
10010052.jpg, 0, A girl is on rollerskates talking on her cellphone standing in a parking lot .,7
10010052.jpg, 1, A trendy girl talking on her cellphone while gliding slowly down the street .,7
10010052.jpg, 2," A young adult wearing rollerblades , holding a cellular phone to her ear .",7
10010052.jpg, 3, there is a young girl on her cellphone while skating .,7
10010052.jpg, 4, Woman talking on cellphone and wearing rollerskates .,7
1001465944.jpg, 0, An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .,8
1001465944.jpg, 1, Three people are standing outside near large pipes and a metal railing .,8
1001465944.jpg, 2, A young woman walks past two young people dressed in hip black outfits .,8
1001465944.jpg, 3, A woman with a large purse is walking by a gate .,8
1001465944.jpg, 4, Several people standing outside a building .,8
1001545525.jpg, 0, Two men in Germany jumping over a rail at the same time without shirts .,9
1001545525.jpg, 1," Two youths are jumping over a roadside railing , at night .",9
1001545525.jpg, 2, Boys dancing on poles in the middle of the night .,9
1001545525.jpg, 3, Two men with no shirts jumping over a rail .,9
1001545525.jpg, 4, two guys jumping over a gate together,9
